title,channelName,viewCount,likes,date,duration,type,url,commentsCount
"Iran Balas Propaganda AS dengan Meme dan AI, Bongkar Kegagalan dan Kekurangan Militer Amerika",Tribunnews,1241,11,2026-04-06T03:31:36.000Z,00:01:08,video,https://www.youtube.com/watch?v=i6LSLgBiPXA,0
"FULL Perang AS-Israel vs Iran Meluas, Isu Kematian Netanyahu, Propaganda? | iNews Prime 18/3",Official iNews,9169,56,2026-03-18T16:17:11.000Z,00:39:31,video,https://www.youtube.com/watch?v=UCKTsQM39QE,11
"Hadapi AS & Israel, Iran Melemah? Pakar Intelijen: Secara Propaganda Iran Masih Unggul | NTV",Nusantara TV,1795,24,2026-04-04T14:30:36.000Z,00:10:40,video,https://www.youtube.com/watch?v=fFJd2uK6DMg,8
Perang Iran vs Israel-Amerika: Hati-Hati Propaganda Media | NU Online News,NU Online News,15,0,2026-03-13T00:14:08.000Z,00:03:22,video,https://www.youtube.com/watch?v=aiszWQwAJ7c,0
"AS Kalah dalam Propaganda Media di Tengah Perang Melawan iran, Ada Apa? | Breaking News",tvOneNews,33783,363,2026-04-16T07:30:30.000Z,00:08:04,video,https://www.youtube.com/watch?v=dp_PgJW3JeE,290
Propaganda Media dalam Perang Iran vs Israel-Amerika | Al-Qur'an Sebagai Software Peradaban - ADZ,NU Online,4715,181,2026-03-10T12:01:44.000Z,01:29:19,video,https://www.youtube.com/watch?v=wp0Tol8ysEU,33
Kini Giliran Trump Tuduh Iran Pakai AI untuk Propaganda Perang | OneNews Update,tvOnenewscom,1133,13,2026-03-16T07:34:36.000Z,00:05:18,video,https://www.youtube.com/watch?v=dkgoSdt_rBQ,23
"Video Sipil Iran Berlatih Gunakan Senjata Viral, Upaya Propaganda? | AKIM",tvOneNews,360,4,2026-05-25T12:54:44.000Z,00:15:39,video,https://www.youtube.com/watch?v=FmNBnTOQP28,4
"DONALD TRUMP TUDUH MEDIA BERKHIANAT, Sebarkan Propaganda AI di Tengah Konflik dengan Iran",Tribun Papua Barat Official,16506,109,2026-03-16T14:14:25.000Z,00:01:31,video,https://www.youtube.com/watch?v=3RyBM6cu3wc,154
Trump Tuduh Iran Pakai AI untuk Propaganda Perang dan Palsukan Keberhasilan Serangan,KOMPASTV JAWA TIMUR,3986,10,2026-03-16T17:45:35.000Z,00:01:15,video,https://www.youtube.com/watch?v=5h-vf7weE3Y,29
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,https://www.youtube.com/watch?v=dp_PgJW3JeE,
,,,,,,,https://www.youtube.com/watch?v=3RyBM6cu3wc,
